"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Idaho"	"16"	"Cellulitis of other parts of limb"	"L03.1"	13	1939033	Unreliable
	"Idaho"	"16"	"Cellulitis, unspecified"	"L03.9"	10	1939033	Unreliable
	"Idaho"	"16"	"Rheumatoid arthritis, unspecified"	"M06.9"	13	1939033	Unreliable
	"Idaho"	"16"	"Osteomyelitis, unspecified"	"M86.9"	16	1939033	Unreliable
	"Idaho"	"16"	"Acute renal failure, unspecified"	"N17.9"	25	1939033	1.3
	"Idaho"	"16"	"Chronic kidney disease, stage 5"	"N18.5"	66	1939033	3.4
	"Idaho"	"16"	"Chronic renal failure, unspecified"	"N18.9"	37	1939033	1.9
	"Idaho"	"16"	"Unspecified renal failure"	"N19"	25	1939033	1.3
	"Idaho"	"16"	"Urinary tract infection, site not specified"	"N39.0"	65	1939033	3.4
	"Idaho"	"16"	"Extreme immaturity"	"P07.2"	13	1939033	Unreliable
	"Idaho"	"16"	"Senility"	"R54"	69	1939033	3.6
	"Idaho"	"16"	"Other ill-defined and unspecified causes of mortality"	"R99"	32	1939033	1.7
	"Idaho"	"16"	"COVID-19"	"U07.1"	823	1939033	42.4
	"Idaho"	"16"	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	16	1939033	Unreliable
	"Idaho"	"16"	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	32	1939033	1.7
	"Idaho"	"16"	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	13	1939033	Unreliable
	"Idaho"	"16"	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	30	1939033	1.5
	"Idaho"	"16"	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	17	1939033	Unreliable
	"Idaho"	"16"	"Driver of all-terrain or other off-road motor vehicle injured in nontraffic accident"	"V86.5"	10	1939033	Unreliable
	"Idaho"	"16"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	23	1939033	1.2
	"Idaho"	"16"	"Fall on same level from slipping, tripping and stumbling"	"W01"	18	1939033	Unreliable
	"Idaho"	"16"	"Fall involving bed"	"W06"	22	1939033	1.1
	"Idaho"	"16"	"Fall on and from stairs and steps"	"W10"	21	1939033	1.1
	"Idaho"	"16"	"Other fall on same level"	"W18"	225	1939033	11.6
	"Idaho"	"16"	"Unspecified fall"	"W19"	37	1939033	1.9
	"Idaho"	"16"	"Drowning and submersion while in natural water"	"W69"	12	1939033	Unreliable
	"Idaho"	"16"	"Accidental suffocation and strangulation in bed"	"W75"	11	1939033	Unreliable
	"Idaho"	"16"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	10	1939033	Unreliable
	"Idaho"	"16"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	21	1939033	1.1
	"Idaho"	"16"	"Exposure to uncontrolled fire in building or structure"	"X00"	11	1939033	Unreliable
	"Idaho"	"16"	"Exposure to excessive natural cold"	"X31"	13	1939033	Unreliable
	"Idaho"	"16"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	55	1939033	2.8
	"Idaho"	"16"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	120	1939033	6.2
	"Idaho"	"16"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	146	1939033	7.5
	"Idaho"	"16"	"Accidental poisoning by and exposure to alcohol"	"X45"	11	1939033	Unreliable
	"Idaho"	"16"	"Accidental poisoning by and exposure to other gases and vapours"	"X47"	10	1939033	Unreliable
	"Idaho"	"16"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	11	1939033	Unreliable
	"Idaho"	"16"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	29	1939033	1.5
	"Idaho"	"16"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	1939033	Unreliable
	"Idaho"	"16"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	68	1939033	3.5
	"Idaho"	"16"	"Intentional self-harm by handgun discharge"	"X72"	238	1939033	12.3
	"Idaho"	"16"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	34	1939033	1.8
	"Idaho"	"16"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	13	1939033	Unreliable
	"Idaho"	"16"	"Assault by handgun discharge"	"X93"	26	1939033	1.3
	"Idaho"	"16"	"Sequelae of motor-vehicle accident"	"Y85.0"	17	1939033	Unreliable
	"Illinois"	"17"	"Enterocolitis due to Clostridium difficile"	"A04.7"	177	12582032	1.4
	"Illinois"	"17"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	20	12582032	0.2
	"Illinois"	"17"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	76	12582032	0.6
	"Illinois"	"17"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	16	12582032	Unreliable
	"Illinois"	"17"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	10	12582032	Unreliable
	"Illinois"	"17"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	30	12582032	0.2
	"Illinois"	"17"	"Septicaemia, unspecified"	"A41.9"	1748	12582032	13.9
	"Illinois"	"17"	"Legionnaires disease"	"A48.1"	11	12582032	Unreliable
	"Illinois"	"17"	"Staphylococcal infection, unspecified"	"A49.0"	33	12582032	0.3
	"Illinois"	"17"	"Streptococcal infection, unspecified"	"A49.1"	18	12582032	Unreliable
	"Illinois"	"17"	"Other bacterial infections of unspecified site"	"A49.8"	22	12582032	0.2
	"Illinois"	"17"	"Bacterial infection, unspecified"	"A49.9"	59	12582032	0.5
	"Illinois"	"17"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	29	12582032	0.2
	"Illinois"	"17"	"Chronic viral hepatitis C"	"B18.2"	37	12582032	0.3
	"Illinois"	"17"	"HIV disease resulting in other bacterial infections"	"B20.1"	17	12582032	Unreliable
	"Illinois"	"17"	"HIV disease resulting in multiple infections"	"B20.7"	14	12582032	Unreliable
	"Illinois"	"17"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	11	12582032	Unreliable
	"Illinois"	"17"	"HIV disease resulting in other specified conditions"	"B23.8"	31	12582032	0.2
	"Illinois"	"17"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	14	12582032	Unreliable
	"Illinois"	"17"	"Coronavirus infection, unspecified"	"B34.2"	15	12582032	Unreliable
	"Illinois"	"17"	"Other viral infections of unspecified site"	"B34.8"	27	12582032	0.2
	"Illinois"	"17"	"Unspecified mycosis"	"B49"	27	12582032	0.2
	"Illinois"	"17"	"Pneumocystosis"	"B59"	10	12582032	Unreliable
	"Illinois"	"17"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	21	12582032	0.2
	"Illinois"	"17"	"Other and unspecified infectious diseases"	"B99"	16	12582032	Unreliable
	"Illinois"	"17"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	117	12582032	0.9
	"Illinois"	"17"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	57	12582032	0.5
	"Illinois"	"17"	"Malignant neoplasm of parotid gland"	"C07"	30	12582032	0.2
	"Illinois"	"17"	"Major salivary gland, unspecified - Malignant neoplasms"	"C08.9"	16	12582032	Unreliable
	"Illinois"	"17"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	46	12582032	0.4
	"Illinois"	"17"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	81	12582032	0.6
	"Illinois"	"17"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	26	12582032	0.2
	"Illinois"	"17"	"Hypopharynx, unspecified - Malignant neoplasms"	"C13.9"	30	12582032	0.2
	"Illinois"	"17"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	43	12582032	0.3
	"Illinois"	"17"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	626	12582032	5.0
	"Illinois"	"17"	"Cardia - Malignant neoplasms"	"C16.0"	51	12582032	0.4
	"Illinois"	"17"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	357	12582032	2.8
	"Illinois"	"17"	"Duodenum - Malignant neoplasms"	"C17.0"	56	12582032	0.4
	"Illinois"	"17"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	28	12582032	0.2
	"Illinois"	"17"	"Caecum - Malignant neoplasms"	"C18.0"	25	12582032	0.2
	"Illinois"	"17"	"Appendix - Malignant neoplasms"	"C18.1"	47	12582032	0.4
	"Illinois"	"17"	"Ascending colon - Malignant neoplasms"	"C18.2"	17	12582032	Unreliable
	"Illinois"	"17"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	34	12582032	0.3
	"Illinois"	"17"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1461	12582032	11.6
	"Illinois"	"17"	"Malignant neoplasm of rectosigmoid junction"	"C19"	96	12582032	0.8
	"Illinois"	"17"	"Malignant neoplasm of rectum"	"C20"	349	12582032	2.8
	"Illinois"	"17"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	52	12582032	0.4
	"Illinois"	"17"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	406	12582032	3.2
	"Illinois"	"17"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	344	12582032	2.7
	"Illinois"	"17"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	279	12582032	2.2
	"Illinois"	"17"	"Malignant neoplasm of gallbladder"	"C23"	83	12582032	0.7
	"Illinois"	"17"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	43	12582032	0.3
	"Illinois"	"17"	"Ampulla of Vater - Malignant neoplasms"	"C24.1"	11	12582032	Unreliable
	"Illinois"	"17"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	28	12582032	0.2
	"Illinois"	"17"	"Head of pancreas - Malignant neoplasms"	"C25.0"	21	12582032	0.2
	"Illinois"	"17"	"Pancreatic duct - Malignant neoplasms"	"C25.3"	12	12582032	Unreliable
	"Illinois"	"17"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	1823	12582032	14.5
	"Illinois"	"17"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	17	12582032	Unreliable
	"Illinois"	"17"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	65	12582032	0.5
	"Illinois"	"17"	"Maxillary sinus - Malignant neoplasms"	"C31.0"	12	12582032	Unreliable
	"Illinois"	"17"	"Supraglottis - Malignant neoplasms"	"C32.1"	25	12582032	0.2
	"Illinois"	"17"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	132	12582032	1.0
	"Illinois"	"17"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	49	12582032	0.4
	"Illinois"	"17"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	20	12582032	0.2
	"Illinois"	"17"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	5248	12582032	41.7
	"Illinois"	"17"	"Malignant neoplasm of thymus"	"C37"	16	12582032	Unreliable
	"Illinois"	"17"	"Mandible - Malignant neoplasms"	"C41.1"	13	12582032	Unreliable
	"Illinois"	"17"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	46	12582032	0.4
	"Illinois"	"17"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	260	12582032	2.1
	"Illinois"	"17"	"Skin of other and unspecified parts of face - Malignant neoplasms"	"C44.3"	12	12582032	Unreliable
	"Illinois"	"17"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	34	12582032	0.3
	"Illinois"	"17"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	86	12582032	0.7
	"Illinois"	"17"	"Mesothelioma of pleura - Malignant neoplasms"	"C45.0"	10	12582032	Unreliable
	"Illinois"	"17"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	68	12582032	0.5
	"Illinois"	"17"	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	42	12582032	0.3
	"Illinois"	"17"	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	10	12582032	Unreliable
	"Illinois"	"17"	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	19	12582032	Unreliable
	"Illinois"	"17"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	168	12582032	1.3
	"Illinois"	"17"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	1695	12582032	13.5
	"Illinois"	"17"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	49	12582032	0.4
	"Illinois"	"17"	"Malignant neoplasm of vagina"	"C52"	10	12582032	Unreliable
	"Illinois"	"17"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	152	12582032	1.2
	"Illinois"	"17"	"Endometrium - Malignant neoplasms"	"C54.1"	318	12582032	2.5
	"Illinois"	"17"	"Malignant neoplasm of uterus, part unspecified"	"C55"	221	12582032	1.8
	"Illinois"	"17"	"Malignant neoplasm of ovary"	"C56"	473	12582032	3.8
	"Illinois"	"17"	"Fallopian tube - Malignant neoplasms"	"C57.0"	18	12582032	Unreliable
	"Illinois"	"17"	"Female genital organ, unspecified - Malignant neoplasms"	"C57.9"	26	12582032	0.2
	"Illinois"	"17"	"Penis, unspecified - Malignant neoplasms"	"C60.9"	12	12582032	Unreliable
	"Illinois"	"17"	"Malignant neoplasm of prostate"	"C61"	1262	12582032	10.0
	"Illinois"	"17"	"Testis, unspecified - Malignant neoplasms"	"C62.9"	21	12582032	0.2
	"Illinois"	"17"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	512	12582032	4.1
	"Illinois"	"17"	"Malignant neoplasm of ureter"	"C66"	17	12582032	Unreliable
	"Illinois"	"17"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	620	12582032	4.9
	"Illinois"	"17"	"Urethra - Malignant neoplasms"	"C68.0"	14	12582032	Unreliable
	"Illinois"	"17"	"Urinary organ, unspecified - Malignant neoplasms"	"C68.9"	22	12582032	0.2
	"Illinois"	"17"	"Meninges, unspecified - Malignant neoplasms"	"C70.9"	10	12582032	Unreliable
	"Illinois"	"17"	"Frontal lobe - Malignant neoplasms"	"C71.1"	13	12582032	Unreliable
	"Illinois"	"17"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	584	12582032	4.6
	"Illinois"	"17"	"Malignant neoplasm of thyroid gland"	"C73"	94	12582032	0.7
	"Illinois"	"17"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	20	12582032	0.2
	"Illinois"	"17"	"Head, face and neck - Malignant neoplasms"	"C76.0"	18	12582032	Unreliable
	"Illinois"	"17"	"Abdomen - Malignant neoplasms"	"C76.2"	25	12582032	0.2
	"Illinois"	"17"	"Pelvis - Malignant neoplasms"	"C76.3"	10	12582032	Unreliable
	"Illinois"	"17"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	15	12582032	Unreliable
	"Illinois"	"17"	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	12	12582032	Unreliable
	"Illinois"	"17"	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	35	12582032	0.3
	"Illinois"	"17"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	72	12582032	0.6
	"Illinois"	"17"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	37	12582032	0.3
	"Illinois"	"17"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	16	12582032	Unreliable
	"Illinois"	"17"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	97	12582032	0.8
	"Illinois"	"17"	"Malignant neoplasm without specification of site"	"C80"	1185	12582032	9.4
	"Illinois"	"17"	"Hodgkin disease, unspecified"	"C81.9"	32	12582032	0.3
	"Illinois"	"17"	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	29	12582032	0.2
	"Illinois"	"17"	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	37	12582032	0.3
	"Illinois"	"17"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	196	12582032	1.6
	"Illinois"	"17"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	30	12582032	0.2
	"Illinois"	"17"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	120	12582032	1.0
	"Illinois"	"17"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	297	12582032	2.4
	"Illinois"	"17"	"Waldenstr÷m macroglobulinemia"	"C88.0"	16	12582032	Unreliable
	"Illinois"	"17"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	434	12582032	3.4
	"Illinois"	"17"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	57	12582032	0.5
	"Illinois"	"17"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	151	12582032	1.2
	"Illinois"	"17"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	399	12582032	3.2
	"Illinois"	"17"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	37	12582032	0.3
	"Illinois"	"17"	"Acute myelomonocytic leukaemia - Malignant neoplasms"	"C92.5"	13	12582032	Unreliable
	"Illinois"	"17"	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	19	12582032	Unreliable
	"Illinois"	"17"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	12	12582032	Unreliable
	"Illinois"	"17"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	54	12582032	0.4
	"Illinois"	"17"	"Chronic leukaemia of unspecified cell type - Malignant neoplasms"	"C95.1"	10	12582032	Unreliable
	"Illinois"	"17"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	99	12582032	0.8
	"Illinois"	"17"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	225	12582032	1.8
	"Illinois"	"17"	"Cerebral meninges - Benign neoplasms"	"D32.0"	11	12582032	Unreliable
	"Illinois"	"17"	"Meninges, unspecified - Benign neoplasms"	"D32.9"	38	12582032	0.3
	"Illinois"	"17"	"Other digestive organs - Uncertain neoplasms"	"D37.7"	11	12582032	Unreliable
	"Illinois"	"17"	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	28	12582032	0.2
	"Illinois"	"17"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	61	12582032	0.5
	"Illinois"	"17"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	242	12582032	1.9
	"Illinois"	"17"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	51	12582032	0.4
	"Illinois"	"17"	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	16	12582032	Unreliable
	"Illinois"	"17"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	26	12582032	0.2
	"Illinois"	"17"	"Sickle-cell anaemia without crisis"	"D57.1"	22	12582032	0.2
	"Illinois"	"17"	"Aplastic anaemia, unspecified"	"D61.9"	51	12582032	0.4
	"Illinois"	"17"	"Acute posthaemorrhagic anaemia"	"D62"	37	12582032	0.3
	"Illinois"	"17"	"Anaemia, unspecified"	"D64.9"	109	12582032	0.9
	"Illinois"	"17"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	20	12582032	0.2
	"Illinois"	"17"	"Coagulation defect, unspecified"	"D68.9"	29	12582032	0.2
	"Illinois"	"17"	"Thrombocytopenia, unspecified"	"D69.6"	21	12582032	0.2
	"Illinois"	"17"	"Agranulocytosis"	"D70"	12	12582032	Unreliable
	"Illinois"	"17"	"Haemophagocytic lymphohistiocytosis"	"D76.1"	12	12582032	Unreliable
	"Illinois"	"17"	"Sarcoidosis, unspecified"	"D86.9"	28	12582032	0.2
	"Illinois"	"17"	"Disorder involving the immune mechanism, unspecified"	"D89.9"	12	12582032	Unreliable
	"Illinois"	"17"	"Myxoedema coma"	"E03.5"	11	12582032	Unreliable
	"Illinois"	"17"	"Hypothyroidism, unspecified"	"E03.9"	51	12582032	0.4
	"Illinois"	"17"	"Insulin-dependent diabetes mellitus, with ketoacidosis"	"E10.1"	10	12582032	Unreliable
	"Illinois"	"17"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	37	12582032	0.3
	"Illinois"	"17"	"Insulin-dependent diabetes mellitus, with multiple complications"	"E10.7"	13	12582032	Unreliable
	"Illinois"	"17"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	60	12582032	0.5
	"Illinois"	"17"	"Non-insulin-dependent diabetes mellitus, with ketoacidosis"	"E11.1"	10	12582032	Unreliable
	"Illinois"	"17"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	363	12582032	2.9
	"Illinois"	"17"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	56	12582032	0.4
	"Illinois"	"17"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	49	12582032	0.4
	"Illinois"	"17"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	692	12582032	5.5
	"Illinois"	"17"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	176	12582032	1.4
	"Illinois"	"17"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	530	12582032	4.2
	"Illinois"	"17"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	10	12582032	Unreliable
	"Illinois"	"17"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	92	12582032	0.7
	"Illinois"	"17"	"Unspecified diabetes mellitus, with other specified complications"	"E14.6"	11	12582032	Unreliable
	"Illinois"	"17"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	73	12582032	0.6
	"Illinois"	"17"	"Unspecified diabetes mellitus, without complications"	"E14.9"	1252	12582032	10.0
	"Illinois"	"17"	"Hypoglycaemia, unspecified"	"E16.2"	22	12582032	0.2
	"Illinois"	"17"	"Unspecified severe protein-energy malnutrition"	"E43"	299	12582032	2.4
	"Illinois"	"17"	"Moderate protein-energy malnutrition"	"E44.0"	22	12582032	0.2
	"Illinois"	"17"	"Retarded development following protein-energy malnutrition"	"E45"	15	12582032	Unreliable
	"Illinois"	"17"	"Unspecified protein-energy malnutrition"	"E46"	324	12582032	2.6
	"Illinois"	"17"	"Extreme obesity with alveolar hypoventilation"	"E66.2"	27	12582032	0.2
	"Illinois"	"17"	"Other obesity"	"E66.8"	151	12582032	1.2
	"Illinois"	"17"	"Obesity, unspecified"	"E66.9"	107	12582032	0.9
	"Illinois"	"17"	"Pure hypercholesterolaemia"	"E78.0"	51	12582032	0.4
	"Illinois"	"17"	"Mixed hyperlipidaemia"	"E78.2"	14	12582032	Unreliable
	"Illinois"	"17"	"Hyperlipidaemia, unspecified"	"E78.5"	333	12582032	2.6
	"Illinois"	"17"	"Disorder of lipoprotein metabolism, unspecified"	"E78.9"	48	12582032	0.4
	"Illinois"	"17"	"Disorders of calcium metabolism"	"E83.5"	16	12582032	Unreliable
	"Illinois"	"17"	"Organ-limited amyloidosis"	"E85.4"	59	12582032	0.5
	"Illinois"	"17"	"Amyloidosis, unspecified"	"E85.9"	21	12582032	0.2
	"Illinois"	"17"	"Volume depletion"	"E86"	44	12582032	0.3
	"Illinois"	"17"	"Hyperosmolality and hypernatraemia"	"E87.0"	44	12582032	0.3
	"Illinois"	"17"	"Hypo-osmolality and hyponatraemia"	"E87.1"	26	12582032	0.2
	"Illinois"	"17"	"Acidosis"	"E87.2"	101	12582032	0.8
	"Illinois"	"17"	"Hyperkalaemia"	"E87.5"	33	12582032	0.3
	"Illinois"	"17"	"Fluid overload"	"E87.7"	18	12582032	Unreliable
	"Illinois"	"17"	"Other disorders of electrolyte and fluid balance, not elsewhere classified"	"E87.8"	10	12582032	Unreliable
	"Illinois"	"17"	"Metabolic disorder, unspecified"	"E88.9"	228	12582032	1.8
	"Illinois"	"17"	"Multi-infarct dementia"	"F01.1"	13	12582032	Unreliable
	"Illinois"	"17"	"Vascular dementia, unspecified"	"F01.9"	912	12582032	7.2
	"Illinois"	"17"	"Unspecified dementia"	"F03"	3777	12582032	30.0
	"Illinois"	"17"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	12	12582032	Unreliable
	"Illinois"	"17"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	149	12582032	1.2
	"Illinois"	"17"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	412	12582032	3.3
	"Illinois"	"17"	"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder"	"F10.7"	11	12582032	Unreliable
	"Illinois"	"17"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	21	12582032	0.2
	"Illinois"	"17"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	33	12582032	0.3
	"Illinois"	"17"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"	"F19.2"	12	12582032	Unreliable
	"Illinois"	"17"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	10	12582032	Unreliable
	"Illinois"	"17"	"Schizophrenia, unspecified"	"F20.9"	15	12582032	Unreliable
	"Illinois"	"17"	"Depressive episode, unspecified"	"F32.9"	11	12582032	Unreliable
	"Illinois"	"17"	"Meningitis, unspecified"	"G03.9"	15	12582032	Unreliable
	"Illinois"	"17"	"Encephalitis, myelitis and encephalomyelitis, unspecified"	"G04.9"	12	12582032	Unreliable
	"Illinois"	"17"	"Huntington disease"	"G10"	50	12582032	0.4
	"Illinois"	"17"	"Motor neuron disease"	"G12.2"	253	12582032	2.0
	"Illinois"	"17"	"Parkinson disease"	"G20"	1492	12582032	11.9
	"Illinois"	"17"	"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"	"G23.1"	50	12582032	0.4
	"Illinois"	"17"	"Alzheimer disease with early onset"	"G30.0"	19	12582032	Unreliable
	"Illinois"	"17"	"Alzheimer disease with late onset"	"G30.1"	244	12582032	1.9
	"Illinois"	"17"	"Alzheimer disease, unspecified"	"G30.9"	3847	12582032	30.6
	"Illinois"	"17"	"Circumscribed brain atrophy"	"G31.0"	70	12582032	0.6
	"Illinois"	"17"	"Senile degeneration of brain, not elsewhere classified"	"G31.1"	1422	12582032	11.3
	"Illinois"	"17"	"Other specified degenerative diseases of nervous system"	"G31.8"	252	12582032	2.0
	"Illinois"	"17"	"Degenerative disease of nervous system, unspecified"	"G31.9"	40	12582032	0.3
	"Illinois"	"17"	"Multiple sclerosis"	"G35"	201	12582032	1.6
	"Illinois"	"17"	"Epilepsy, unspecified"	"G40.9"	67	12582032	0.5
	"Illinois"	"17"	"Status epilepticus, unspecified"	"G41.9"	49	12582032	0.4
	"Illinois"	"17"	"Transient cerebral ischaemic attack, unspecified"	"G45.9"	12	12582032	Unreliable
	"Illinois"	"17"	"Sleep apnoea"	"G47.3"	40	12582032	0.3
	"Illinois"	"17"	"Guillain-Barre syndrome"	"G61.0"	14	12582032	Unreliable
	"Illinois"	"17"	"Myasthenia gravis"	"G70.0"	39	12582032	0.3
	"Illinois"	"17"	"Myoneural disorder, unspecified"	"G70.9"	12	12582032	Unreliable
	"Illinois"	"17"	"Muscular dystrophy"	"G71.0"	31	12582032	0.2
	"Illinois"	"17"	"Myotonic disorders"	"G71.1"	12	12582032	Unreliable
